Apis mellifera
Enallagma cyathigerum
Ischnura elegans
Pyrrhosoma nymphula
Coenagrion puella
Erythromma najas
Lestes sponsa
Agrion splendens
Platycnemis pennipes
Anopheles gambiae
Aedes aegypti
Culex pipiens
Drosophila melanogaster
Musca domestica
Calliphora vomitoria
Lucilia sericata
Eristalis tenax
Episyrphus balteatus
Syrphus ribesii
Volucella zonaria
Tabanus bovinus
Chrysops relictus
Bombylius major
Bibio marci
Tipula paludosa
Crane fly
Culex quinquefasciatus
Ceratitis capitata
Drosophila suzukii
Lucilia cuprina
Phormia regina
Glossina morsitans
Stomoxys calcitrans
Haematobia irritans
Musca autumnalis
Fannia canicularis
Psychoda alternata
Culex tarsalis
Aedes albopictus
Aedes vexans
Chironomus riparius
Chaoborus crystallinus
Cicada orni
Lyristes plebejus
Magicicada septendecim
Hyalessa maculaticollis
Cryptotympana atrata
Meimuna opalifera
Tibicen linnei
Nezara viridula
Palomena prasina
Graphosoma italicum
Pyrrhocoris apterus
Rhodnius prolixus
Cimex lectularius
Aphis fabae
Myzus persicae
Brevicoryne brassicae
Macrosiphum euphorbiae
Adelges piceae
Icerya purchasi
Planococcus citri
Trialeurodes vaporariorum
Bemisia tabaci
Aleyrodes proletella
Philaenus spumarius
Cercopis vulnerata
Aphrophora alni
Issus coleoptratus
Membracidae
Cicadella viridis
Empoasca vitis
Typhlocyba quercus
Ledra aurita
Stictocephala bursaria
Philaenus spumarius
Nilaparvata lugens
Laodelphax striatellus
Sogatella furcifera
Blattella germanica
Cryptocercus punctulatus
Mastotermes darwiniensis
Zootermopsis angusticollis
Reticulitermes flavipes
Coptotermes formosanus
Macrotermes natalensis
Odontotermes obesus
Camponotus japonicus
Linepithema humile
Solenopsis invicta
Myrmica rubra
Tetramorium caespitum
Pheidole megacephala
Eciton burchellii
Atta cephalotes
Acromyrmex octospinosus
Megaponera analis
Harpegnathos saltator
Diacamma rugosum
Polyrhachis dives
Oecophylla smaragdina
Weaver ant
Crematogaster scutellaris
Leptothorax acervorum
Tapinoma sessile
Lasius flavus
Formica polyctena
Bombus pascuorum
Bombus lapidarius
Bombus hypnorum
Xylocopa violacea
Osmia bicornis
Megachile rotundata
Andrena fulva
Halictus rubicundus
Nomada flava
Sphecodes gibbus
Ammophila sabulosa
Sceliphron curvatum
Pompilus rufipes
Priocnemis perturbator
Anoplius viaticus
Bembix rostrata
Philanthus triangulum
Cerceris arenaria
Mellinus arvensis
Oxybelus uniglumis
Trypoxylon figulus
Pemphredon lethifer
Diodontus minutus
Passaloecus gracilis
Eumenes coarctatus
Polistes dominula
Dolichovespula maculata
Vespula germanica
Vespula vulgaris
Megarhyssa macrurus
Urocerus gigas
Siricidae
Tremex columba
Xeris spectrum
Cephus pygmaeus
Janus integer
Uroda novae-zealandiae
Arge pagana
Athalia rosae
Cimbex femoratus
Tenthredo livida
Nematus ribesii
Hoplocampa testudinea
Pontania proxima
Euura lasiolepis
Cynips quercusfolii
Diplolepis rosae
Biorhiza pallida
Neuroterus numismalis
Eurytoma rosae
Nasonia vitripennis
Pteromalus puparum
Trichogramma evanescens
Ichneumonidae
Rhyssa persuasoria
Amblyjoppa proteus
Gelis agilis
Netelia testaceus
Ophion obscuratus
Enicospilus ramidulus
Campoplex capitator
Glypta haesitator
Phobocampe confusa
Cotesia glomerata
Cotesia rubecula
Microplitis mediator
Diadegma semiclausum
Hyposter didymator
Venturia canescens
Braconidae
Aphidius ervi
Aphidius matricariae
Lysiphlebus testaceipes
Praon volucre
Ephedrus plagiator
Apanteles glomeratus
Meteorus pulchricornis
Macrocentrus linearis
Rogas nigricornis
Spathius agrili
Tetrastichus planipennisi
Megastigmus aculeatus
Eurytoma brunniventris
Chalcidoidea
Eulophidae
Pteromalidae
Encyrtidae
Aphelinidae
Signiphora flavella
Copidosoma koehleri
Encarsia formosa
Trichogramma brassicae
Anagrus atomus
Anaphes iole
Gonatocerus ashmeadi
Metaphycus flavus
Comperiella bifasciata
Coccophagus scutellaris
Diversinervus elegans
Scutellista cyanea
Muscidifurax zaraptor
Spalangia endius
Nasonia giraulti
Ormia ochracea
Tachina magnicornis
Phasia hemiptera
Exorista larvarum
Eurithia connivens
Sarcophaga carnaria
Calliphora vicina
Lucilia caesar
Protophormia terraenovae
Cochliomyia hominivorax
Wohlfahrtia magnifica
Gasterophilus intestinalis
Hypoderma lineatum
Oestrus ovis
Cuterebra fontinella
Dermatobia hominis
Cordylobia anthropophaga
Chrysomya bezziana
Lucilia cuprina
Phormia regina
Pollenia rudis
Cluster fly
Helicoverpa armigera
Spodoptera littoralis
Spodoptera exigua
Mamestra brassicae
 Agrotis ipsilon
 Agrotis segetum
Noctua pronuba
Autographa gamma
Plusia gamma
Trichoplusia ni
Heliothis virescens
Helicoverpa zea
Pectinophora gossypiella
Plutella xylostella
Tuta absoluta
Phthorimaea operculella
Sitotroga cerealella
Ephestia kuehniella
Plodia interpunctella
Indian meal moth
Tineola bisselliella
Tinea pellionella
Monopis obviella
Endrosis sarcitrella
Hofmannophila pseudospretella
Aglossa pinguinalis
Pyralis farinalis
Ostrinia nubilalis
European corn borer
Chilo suppressalis
Scirpophaga incertulas
Tryporyza incertulas
Diatraea saccharalis
Busseola fusca
Sesamia calamistis
Mythimna separata
Spodoptera frugiperda
Anticarsia gemmatalis
Chrysodeixis includens
Rachiplusia nu
Alabama argillacea
Pectinophora gossypiella
Earias insulana
Helicoverpa assulta
Helicoverpa punctigera
Helicoverpa armigera
Heliothis subflexa
Helicoverpa zea
Chloridea virescens
Spodoptera litura
Spodoptera eridania
Spodoptera mauritia
Lymantria dispar
Lymantria monacha
Euproctis chrysorrhoea
Euproctis similis
Lasiocampa quercus
Malacosoma neustria
Eriogaster lanestris
Thaumetopoea pityocampa
Thaumetopoea processionea
Processionary
Pine processionary
Euthrix potatoria
Malacosoma americanum
Tent caterpillar
Hyphantria cunea
Fall webworm
Lasiocampa quercus
Saturnia pyri
Saturnia pavonia
Antheraea mylitta
Actias luna
Argema mittrei
Attacus atlas
Rothschildia jacobaeae
Hyalophora cecropia
Antheraea polyphemus
Callosamia promethea
Samia cynthia
Bombyx mandarina
Antheraea pernyi
Galleria mellonella
Achroia grisella
Plodia interpunctella
Ephestia elutella
Cadra cautella
Corcyra cephalonica
Sitotroga cerealella
Endrosis sarcitrella
Tineola bisselliella
Monopis crocicapitella
Nemapogon granella
Tinea pellionella
Trichophaga tapetzella
Tinea dubiella
Tinea pallescentella
Monopis obviella
Tinea trinotella
Infestant
Clothes moth
Case-bearing clothes moth
Brown house moth
White-shouldered house moth
